,Result,Home_Elo,Away_Elo
531,D,1499.06335449,1872.29675293
532,D,1873.7253418,1682.4786377
533,W,1567.21813965,1507.30554199
534,D,1506.93737793,1499.06335449
535,W,1585.82299805,1431.40014648
536,L,1759.16186523,1652.77514648
537,L,1549.8190918,1731.92102051
538,W,1866.62890625,1559.34509277
539,L,1783.06201172,1590.38354492
540,L,1669.85009766,1867.48352051
541,D,1737.01135254,1742.08679199
542,L,1426.83959961,1504.92492676
543,L,1583.07861328,1946.71887207
544,W,1502.15124512,1501.07580566
545,D,1688.72033691,1544.7286377
546,L,1643.5291748,1572.37231445
547,W,1501.07580566,1685.6418457
548,L,1557.96911621,1683.51733398
549,L,1520.85107422,1579.54003906
550,L,1665.86645508,1735.54492188
551,W,1549.93164062,1419.29223633
552,W,1950.25744629,1868.00488281
553,W,1743.55310059,1511.23547363
554,W,1873.91503906,1632.28369141
555,W,1583.61779785,1763.44006348
556,D,1512.47229004,1663.41870117
557,W,1610.00537109,1520.85107422
558,L,1506.82983398,1875.96948242
559,D,1863.14477539,1594.86169434
560,L,1746.31323242,1551.8963623
561,W,1415.42199707,1511.60583496
562,L,1589.09338379,1619.25061035
563,D,1689.59020996,1655.09814453
564,D,1752.19616699,1747.95874023
565,W,1630.22924805,1515.19140625
566,D,1660.69958496,1553.80187988
567,L,1511.60583496,1955.11755371
568,D,1509.83837891,1627.92016602
569,D,1687.04907227,1750.48583984
570,W,1657.63928223,1504.95458984
571,L,1855.82617188,1732.54943848
572,W,1426.07897949,1635.90356445
573,L,1565.66015625,1956.88500977
574,W,1558.16931152,1602.18029785
575,W,1877.84472656,1509.83837891
576,L,1509.51708984,1749.66906738
577,W,1656.33215332,1580.42382812
578,L,1744.92773438,1879.2734375
579,W,1571.87316895,1438.16186523
580,L,1563.99975586,1661.10742188
581,D,1750.21398926,1843.44787598
582,W,1755.94641113,1508.40979004
583,W,1623.82055664,1687.32104492
584,D,1594.36206055,1664.8828125
585,D,1627.58642578,1503.23962402
586,L,1508.40979004,1501.4864502
587,W,1958.54541016,1565.9876709
588,W,1761.26171875,1622.79882812
589,D,1635.28088379,1842.4029541
590,L,1491.80957031,1959.4822998
591,L,1594.75695801,1738.98681641
592,W,1668.10913086,1767.31665039
593,L,1838.29467773,1639.38916016
594,D,1518.08666992,1556.99804688
595,L,1675.8605957,1491.80957031
596,L,1565.05065918,1616.74401855
597,W,1885.21435547,1578.41235352
598,D,1508.02722168,1751.2590332
599,W,1664.48791504,1431.62268066
600,D,1746.3260498,1517.61035156
601,D,1653.24438477,1668.26965332
602,W,1748.92932129,1515.17895508
603,L,1427.84106445,1887.31884766
604,L,1576.3079834,1652.49121094
605,W,1557.47436523,1512.96020508
606,W,1961.77282715,1584.81433105
607,D,1624.96325684,1677.19445801
608,L,1515.17895508,1824.43945312
609,L,1758.23132324,1556.8314209
610,L,1659.92736816,1964.49377441
611,D,1524.32458496,1751.72021484
612,W,1888.83752441,1744.32666016
613,L,1504.98352051,1677.19909668
614,W,1827.00695801,1426.32226562
615,L,1512.6114502,1570.73608398
616,W,1739.61181641,1568.87182617
617,W,1652.13110352,1512.6114502
618,D,1582.09338379,1565.4510498
619,W,1669.38293457,1624.95849609
620,W,1499.29199219,1559.20153809
621,W,1571.58764648,1734.61584473
622,L,1608.82067871,1820.36547852
623,W,1689.90686035,1649.11791992
624,D,1736.79528809,1647.98120117
625,W,1416.63110352,1520.83837891
626,W,1557.53503418,1572.01013184
627,W,1865.53894043,1486.71447754
628,L,1669.18811035,1954.79077148
629,W,1724.36401367,1499.29199219
630,W,1568.09960938,1590.82824707
631,W,1722.46459961,1429.71154785
632,L,1825.59619141,1700.05810547
633,L,1514.84729004,1489.29162598
634,W,1655.3659668,1499.66491699
635,W,1646.88525391,1606.55712891
636,L,1568.53503418,1744.33984375
637,W,1499.66491699,1669.81347656
638,L,1555.4239502,1877.93041992
639,L,1752.74316406,1961.25476074
640,L,1883.26049805,1807.92773438
641,W,1499.4185791,1578.38037109
642,W,1823.7434082,1658.74279785
643,W,1510.4486084,1510.4486084
644,L,1569.34558105,1728.9230957
645,D,1549.95031738,1743.00683594
646,W,1504.57678223,1652.45373535
647,W,1659.3996582,1427.30822754
648,L,1580.40393066,1707.43273926
649,D,1724.58081055,1867.15771484
650,W,1980.35302734,1600.70153809
651,D,1559.98815918,1508.16625977
652,W,1985.18188477,1737.73986816
653,D,1518.95031738,1992.67797852
654,L,1607.16625977,1564.98608398
655,W,1718.10839844,1525.86669922
656,L,1432.94006348,1561.70056152
657,L,1530.49987793,1847.10559082
658,D,1763.71179199,1571.82250977
659,W,1872.48974609,1582.05480957
660,L,1642.31274414,1735.03076172
661,L,1661.1348877,1669.54968262
662,L,1525.86669922,1739.22045898
663,W,1748.77392578,1596.53979492
664,D,1577.9510498,1850.72949219
665,L,1567.84594727,1652.00720215
666,W,1516.31323242,1626.56066895
667,W,1678.67736816,1526.87585449
668,D,1580.41394043,1527.3104248
669,W,1750.78283691,1516.31323242
670,W,1984.31787109,1721.14245605
671,W,1757.58312988,1426.79467773
672,D,1575.61254883,1874.13061523
673,L,1753.5357666,1617.65112305
674,W,1577.35168457,1553.49169922
675,L,1591.7779541,1683.46020508
676,D,1712.84631348,1748.95849609
677,W,1418.74536133,1506.99157715
678,D,1506.99157715,1576.05554199
679,W,1660.78845215,1516.51977539
680,L,1836.66369629,1689.52429199
681,L,1435.87036133,1966.73425293
682,D,1626.1907959,1579.43652344
683,D,1526.37060547,1736.99182129
684,D,1713.8560791,1578.25524902
685,W,1512.02258301,1579.47119141
686,W,1864.11230469,1493.00842285
687,W,1668.42749023,1751.09057617
688,L,1577.70959473,1765.22766113
689,W,1493.00842285,1543.40258789
690,D,1735.07336426,1744.61535645
691,W,1537.8112793,1575.27062988
692,D,1503.06384277,1679.36694336
693,W,1584.57348633,1522.72912598
694,D,1711.04675293,1867.69909668
695,W,1573.22888184,1503.06384277
696,D,1709.95385742,1532.75317383
697,W,1977.04101562,1625.51806641
698,D,1751.6887207,1840.59338379
699,D,1585.52880859,1437.05932617
700,W,1746.0567627,1545.17834473
701,W,1839.7244873,1589.86706543
702,L,1442.40209961,1733.63195801
703,D,1517.43554688,1978.99731445
704,L,1704.04638672,1752.55749512
705,W,1864.95068359,1567.90356445
706,W,1623.56176758,1580.38427734
707,D,1538.66064453,1495.90844727
708,D,1677.23364258,1713.79516602
709,L,1495.90844727,1580.18603516
710,L,1714.38330078,1437.33557129
711,W,1587.49353027,1695.97302246
712,L,1537.24755859,1841.78747559
713,W,1738.69848633,1676.64550781
714,D,1540.01330566,1574.74304199
715,L,1488.60107422,1751.22180176
716,L,1970.77270508,1867.13146973
717,W,1760.63085938,1629.20300293
718,L,1565.72277832,1525.66015625
719,W,1587.80407715,1488.60107422
720,W,1833.81750488,1478.95410156
721,L,1752.5,1955.40820312
722,W,1740.70117188,1590.99584961
723,D,1449.5534668,1551.85717773
724,L,1572.08361816,1695.71008301
725,W,1533.07055664,1593.64367676
726,W,1683.36767578,1876.04089355
727,W,1618.78540039,1536.21777344
728,L,1668.18774414,1764.59338379
729,L,1478.95410156,1529.25488281
730,W,1703.13806152,1468.25268555
731,W,1960.92346191,1566.59106445
732,L,1528.97131348,1840.4375
733,W,1464.44445801,1548.39477539
734,L,1586.97363281,1704.47631836
735,D,1772.27368164,1746.65881348
736,D,1856.86767578,1662.44299316
737,W,1580.25500488,1627.96716309
738,W,1541.8918457,1451.86157227
739,L,1551.48474121,1748.92016602
740,W,1445.43261719,1580.31408691
741,L,1758.18603516,1587.97827148
742,D,1843.0222168,1962.22766113
